name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,logistics n/a reason,codex variant id,rarity,breakProb,minPieces,maxPieces,travel drive,number
Dusios,triceti_dusios,,Cetora,,,600,250,400,,100,0,,200,200,200,80,160,60,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,cetora,,,,0,,,,1201
Mita,triceti_mita,,Cetudan,,,250,10,200,,50,0,,325,400,300,150,300,10,FRONT,,360,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,cetudan,,,,0,,,,1202
Saya,triceti_saya,,Cetudan,,,500,25,600,,50,0,,160,160,130,40,120,40,FRONT,,360,0,1,,,1,1,,,,,,,,,,,,,,,,,,,,cetudan,,,,0,,,,1203
Tanpakuseki,triceti_tanpakuseki,,Cetudan,flarelauncher_fighter,,600,50,800,,100,0,,130,130,100,90,180,50,FRONT,,360,0,0.8,,,1,1,,,,,,,,,,,,,,,,,,,,cetudan,,,,0,,,,1204
Robe,triceti_robe,,Cetevska,,,350,25,150,,50,0,,300,400,400,180,360,10,FRONT,,60,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,cetevska,,,,0,,,,1206
Sadlo,triceti_sadlo,,Cetevska,flarelauncher_fighter,,850,400,600,,100,0,,130,75,75,40,80,100,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,cetevska,,,,0,,,,1207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biformis,triceti_biformis,Frigate,Unknown,maneuveringjets,6,3000,400,2200,,300,40,,135,110,110,60,120,250,FRONT,,120,0.4,1,,,10,20,40,20,1,20,10,15000,10,10,300,0.25,10,10,,,,,,,,ind,,,,0.4,2,2,,1208
Wulfaz,triceti_wulfaz,Frigate,Cetora,maneuveringjets,8,2800,350,2500,,200,55,,160,140,140,60,120,220,FRONT,,150,0.4,1,,,10,15,40,30,1,30,10,16000,10,10,180,0.25,12,12,,,,,,,,"limited_tooltip_if_locked, bp_cetora, cetora",,,,0.4,2,2,,1209
Bagaudas,triceti_bagaudas,Heavy Frigate,Cetora,maneuveringjets,10,3500,500,2800,,350,60,,135,120,120,60,120,350,FRONT,,120,0.4,1,,,10,20,50,30,1,30,10,28000,10,10,300,0.25,15,15,,,,,,,,"limited_tooltip_if_locked, bp_cetora, cetora",,,,0.4,2,2,,1210
Bekos,triceti_bekos,Drone Tender,Cetora,maneuveringjets,10,3000,400,2200,,300,45,1,130,120,120,60,120,300,FRONT,,120,0.4,1,,,15,40,60,60,1,60,10,25000,10,10,240,0.25,14,14,,,,,,,,"limited_tooltip_if_locked, bp_cetora, cetora",,,,0.4,2,2,,1211
Kumo,triceti_kumo,Light Frigate,Cetudan,plasmajets,6,900,100,3500,,500,30,,190,200,180,90,270,150,FRONT,,360,0.4,1,,,0,0,20,20,1,20,11,18000,8,25,180,0.25,8,8,,,,,,,UNBOARDABLE,"limited_tooltip_if_locked, bp_cetudan, cetudan",,,,0.75,2,,,
