id,type,text1,text2,text3,text4,text5,notes
cetora,FACTION,"Ages ago, the colony expedition Tri-Ceti was dispatched by the Domain to establish a foothold in the Cetus constellation. The few surviving data slates from before the Collapse mention the expedition barely: A handful of colonists kept in cryosleep and the systems required to sustain them. Despite the Domain’s mastery of automated gate construction, Tri-Ceti represented an experimental attempt to leave the galactic plane by other means. The expedition vanished in the Orion-Perseus Abyss and was ultimately deemed a failure. Only recently have traces of that expedition resurfaced among three factions. The origins of those factions remain obscured by centuries of conflict and corrupted records. Whatever remains of Tri-Ceti now exists only for one purpose: survival.

Only sheer willpower and the support of its AI taskmaster ensured the survival of Cetora. In an endless war against their treacherous neighbours, Cetora settled in a remote system close to the edge of the Orion-Perseus Abyss. With their ingenuity, despite a lack of personnel and material, Cetora designed infrastructure and ships with a focus on reusability and recyclability. Nothing goes to waste in Cetoran society, as nothing can be spared. This resulted not only in an efficient ship doctrine but also in a somewhat horrific treatment of their own populace, seeking to get as much use out of everything and everyone as possible.
Their creed reflects this: «Only the relentless survive.»",,,,,
cetevska,FACTION,"Ages ago, the colony expedition Tri-Ceti was dispatched by the Domain to establish a foothold in the Cetus constellation. The few surviving data slates from before the Collapse mention the expedition barely: A handful of colonists kept in cryosleep and the systems required to sustain them. Despite the Domain’s mastery of automated gate construction, Tri-Ceti represented an experimental attempt to leave the galactic plane by other means. The expedition vanished in the Orion-Perseus Abyss and was ultimately deemed a failure. Only recently have traces of that expedition resurfaced among three factions. The origins of those factions remain obscured by centuries of conflict and corrupted records. Whatever remains of Tri-Ceti now exists only for one purpose: survival.

Hardship can be overcome through the guidance of a mighty AI. Such is the way of Cetevska. To not merely survive the dangers of the Persean Sector, but to transcend them, Cetevska has mastered the manipulation of biology to suit its will. Their AI Thearch promises ascension by biogenic augmentation, a path beyond the limits of ordinary humanity. Over generations, this doctrine transformed this isolated faction on the edge of the Orion-Perseus Abyss into a society that reshapes flesh without restraint. Steel and living tissue are fused into grotesque machines, their ships grown as much as they are built. Viewing all who reject ascension and serfdom to their Thearch as lesser beings, Cetevska wages war with a fanatical zeal that rivals even the Luddic Path and the sector’s most ruthless pirates.",,,,,
cetudan,FACTION,"Ages ago, the colony expedition Tri-Ceti was dispatched by the Domain to establish a foothold in the Cetus constellation. The few surviving data slates from before the Collapse mention the expedition barely: A handful of colonists kept in cryosleep and the systems required to sustain them. Despite the Domain’s mastery of automated gate construction, Tri-Ceti represented an experimental attempt to leave the galactic plane by other means. The expedition vanished in the Orion-Perseus Abyss and was ultimately deemed a failure. Only recently have traces of that expedition resurfaced among three factions. The origins of those factions remain obscured by centuries of conflict and corrupted records. Whatever remains of Tri-Ceti now exists only for one purpose: survival.

Failure is an inevitable step toward progress. Better, however, if someone else bears the cost. Such is the philosophy of Cetudan. Ruled by an AI-directed conglomerate of corporations, with the AI CEO standing at its apex, Cetudan has cultivated immense prosperity in the far reaches of the Persean Sector. Driven by relentless innovation, AI-assisted research, and an uncompromising willingness to explore the unknown, the conglomerate remains at the forefront of technological advancement. Every failed experiment is merely another investment in future success. Yet progress comes at a price. Fiercely protective of its discoveries and suspicious of rivals, Cetudan guards its technology with ruthless efficiency. Its vast wealth supports a growing population and an equally formidable military. While the privileged command fleets and oversee corporate domains, the destitute are offered a different future: to surrender their humanity in exchange for becoming the conglomerate’s latest generation of mechanized soldiers.",,,,,
,,,,,,,
ollondesc,CUSTOM,A colossal ice giant rich in hydrogen and volatile gases. Its extensive system and numerous orbital resources have long made it the economic heart of the Soteria system.,,,,,
brigadesc,CUSTOM,"Briga is a world long since surrendered to war. Beside large craters and the ever present gray dust, the barren world is inhabitable.",,"Briga's surface is a desolate expanse of ash-gray rock and dust, broken only by endless fields of reinforced bunkers printed directly into the landscape. Once linked by underground tunnels and armored roads, many of these sprawling defensive complexes have long since collapsed beneath the weight of war and time.

Orbital bombardment scars the moon on a continental scale. Blackened craters, shattered fortresses, and the ruins of industrial facilities stand as silent reminders of a conflict long past. Overhead, the immense ice giant Ollon dominates the sky, casting its shadow across the devastated world.",,,
redadesc,CUSTOM,"Reda serves as the industrial, logistical, and administrative heart of the scattered Cetoran domains. Reda is an ever-changing labyrinth of salvaged hull sections, repurposed habitats, and improvised dockyards, expanded whenever new materials become available. Entire decks bear the markings of long-forgotten civilizations, seamlessly riveted into newer construction with little regard for aesthetics. Beneath its patchwork exterior lies one of the Persean Sector’s most efficient logistical networks.",,"The rumble of heavy machinery echoes through Reda long before your shuttle reaches its berth. Construction and repair never cease as cranes move overhead and industrial riveters pound throughout the station.

The heart of Reda is a colossal pressurized hangar where loading bays, workshops, administrative offices, and the marketplace occupy a single immense chamber. Built from salvaged hulls, mismatched armor plates, and reclaimed machinery, the station values function above all else. Amid merchants, freighters, and suspended cargo, the organized chaos seems entirely routine to its inhabitants.",,,
stationabandoneddesc,CUSTOM,An abandoned station of independent origin. Its wrecked hull still bears the marks of a siphon-station.,,"Your ship settles inside a ripped-open hangar, where a breathable atmosphere still fills the abandoned station. Despite decades of neglect, the life support systems continue to operate, leaving much of the interior remarkably well preserved.

Empty cargo containers, silent loading equipment, and vast fuel storage tanks reveal the station's original purpose: harvesting gases from Ollon's atmosphere. When the venture failed, the ships stopped coming, leaving the station to endure in quiet isolation. Perhaps it still has one final purpose left.",,,
deiwodesc,CUSTOM,"A newly founded Independent colony in the far reaches of the sector. After Cetora entered the stage and showed cooperative tendencies toward the Independent, some unaffiliated settlers decided to use the opportunity to connect a reclusive faction to the rest of the sector.",,"Touching down on Deiwo is no issue, not even for your usual ship. The low gravity allows for a graceful maneuver and brings you right in front of a small settlement with an unreasonably large landing pad and loading area. Scattered around the settlement are a plethora of different people, from Cetoran riveters to spacers and even docile-looking privateers only visible by their characteristic red painted space suits with skull insignias.",,,
,,,,,,,
